player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
signed,EDG,2,1,0,0,1,0,0,0,0,35,0,0,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
nobody,EDG,2,0,0,0,0,1,0,0,0,27,6,1,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
ZmjjKK,EDG,8,0,1,0,0,0,0,0,0,53,1,2,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
CHICHOO,EDG,3,2,2,0,0,2,0,0,0,43,6,1,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Jieni7,EDG,4,3,0,0,1,0,0,0,0,49,0,0,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Rosé,BBL,1,3,0,0,0,0,0,0,0,57,1,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Crewen,BBL,0,1,0,0,0,0,0,0,0,42,0,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Loita,BBL,3,2,0,0,0,1,0,0,0,52,0,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Lar0k,BBL,3,1,2,1,0,1,0,0,0,101,5,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
lovers,rock,4,0,0,0,0,0,0,0,0,58,1,1,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
signed,EDG,2,1,0,0,0,0,0,0,0,56,0,1,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
nobody,EDG,3,2,0,0,0,0,0,0,0,58,3,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
ZmjjKK,EDG,4,1,0,0,0,0,0,0,0,51,0,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
CHICHOO,EDG,0,0,0,0,0,0,0,0,0,24,3,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Jieni7,EDG,0,0,1,0,0,0,0,0,0,34,0,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Rosé,BBL,1,2,1,0,0,0,0,0,0,139,0,1,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Crewen,BBL,2,1,0,0,0,0,0,0,0,77,0,0,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Loita,BBL,4,1,0,0,0,0,0,0,0,95,2,1,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Lar0k,BBL,3,1,0,1,0,0,0,0,0,67,0,0,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
lovers,rock,4,0,0,0,0,0,0,0,0,37,1,0,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
signed,EDG,1,0,1,0,0,0,1,0,0,44,0,1,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
nobody,EDG,1,0,0,0,0,0,0,0,0,52,2,0,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
ZmjjKK,EDG,0,0,1,0,0,0,0,0,0,50,0,0,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
CHICHOO,EDG,1,0,0,0,0,0,0,0,0,24,0,0,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Jieni7,EDG,1,0,0,0,0,0,0,0,0,29,0,0,Sunset,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Chronicle,VIT,6,0,0,0,0,0,0,0,0,53,1,3,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Derke,VIT,8,2,0,0,0,0,0,0,0,67,3,0,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
