series_id,url,event,tournament,status,error,attempts,has_performance,has_economy,first_seen,last_attempt
625791,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
625790,https://www.vlr.gg/625790/g2-esports-vs-paper-rex-valorant-masters-santiago-2026-r1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
625789,https://www.vlr.gg/625789/t1-vs-team-liquid-valorant-masters-santiago-2026-r1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626529,https://www.vlr.gg/626529/paper-rex-vs-nrg-valorant-masters-santiago-2026-r2-1-0,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626530,https://www.vlr.gg/626530/gentle-mates-vs-team-liquid-valorant-masters-santiago-2026-r2-1-0,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626532,https://www.vlr.gg/626532/edward-gaming-vs-t1-valorant-masters-santiago-2026-r2-0-1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626533,https://www.vlr.gg/626533/xi-lai-gaming-vs-g2-esports-valorant-masters-santiago-2026-r2-0-1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626535,https://www.vlr.gg/626535/nrg-vs-team-liquid-valorant-masters-santiago-2026-r3,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626534,https://www.vlr.gg/626534/g2-esports-vs-t1-valorant-masters-santiago-2026-r3,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626539,https://www.vlr.gg/626539/furia-vs-paper-rex-valorant-masters-santiago-2026-ubqf,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626537,https://www.vlr.gg/626537/nongshim-redforce-vs-gentle-mates-valorant-masters-santiago-2026-ubqf,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626540,https://www.vlr.gg/626540/bbl-esports-vs-nrg-valorant-masters-santiago-2026-ubqf,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626538,https://www.vlr.gg/626538/all-gamers-vs-g2-esports-valorant-masters-santiago-2026-ubqf,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626546,https://www.vlr.gg/626546/furia-vs-bbl-esports-valorant-masters-santiago-2026-lr1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626545,https://www.vlr.gg/626545/gentle-mates-vs-all-gamers-valorant-masters-santiago-2026-lr1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626541,https://www.vlr.gg/626541/nongshim-redforce-vs-g2-esports-valorant-masters-santiago-2026-ubsf,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626542,https://www.vlr.gg/626542/paper-rex-vs-nrg-valorant-masters-santiago-2026-ubsf,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626548,https://www.vlr.gg/626548/g2-esports-vs-bbl-esports-valorant-masters-santiago-2026-lr2,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626547,https://www.vlr.gg/626547/paper-rex-vs-all-gamers-valorant-masters-santiago-2026-lr2,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
626543,https://www.vlr.gg/626543/nongshim-redforce-vs-nrg-valorant-masters-santiago-2026-ubf,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
