team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
DRG,EDG,Fracture,Pearl,Lotus,Split,Haven,Ascent,Breeze,A,3,2026-05-02 07:10:00,https://www.vlr.gg/659477/edward-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-1-ubqf,VCT 2026: China Stage 1
TEC,TYL,Breeze,Lotus,Pearl,Fracture,Haven,Ascent,Split,A,3,2026-05-03 05:00:00,https://www.vlr.gg/659482/titan-esports-club-vs-tyloo-vct-2026-china-stage-1-lr1,VCT 2026: China Stage 1
TE,DRG,Haven,Fracture,Ascent,Lotus,Pearl,Split,Breeze,A,3,2026-05-03 08:30:00,https://www.vlr.gg/659483/trace-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lr1,VCT 2026: China Stage 1
XLG,JDG,Fracture,Breeze,Lotus,Pearl,Bind,Split,Haven,A,3,2026-05-04 05:00:00,https://www.vlr.gg/659478/xi-lai-gaming-vs-jdg-esports-vct-2026-china-stage-1-ubsf,VCT 2026: China Stage 1
EDG,AG,Pearl,Breeze,Fracture,Lotus,Ascent,Haven,Split,A,3,2026-05-04 07:00:00,https://www.vlr.gg/659479/all-gamers-vs-edward-gaming-vct-2026-china-stage-1-ubsf,VCT 2026: China Stage 1
JDG,DRG,Breeze,Fracture,Haven,Lotus,Split,Pearl,Ascent,A,3,2026-05-05 05:00:00,https://www.vlr.gg/659485/jdg-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lr2,VCT 2026: China Stage 1
TYL,AG,Lotus,Breeze,Fracture,Haven,Pearl,Ascent,Split,A,3,2026-05-05 07:00:00,https://www.vlr.gg/659484/all-gamers-vs-tyloo-vct-2026-china-stage-1-lr2,VCT 2026: China Stage 1
XLG,EDG,Fracture,Lotus,Split,Breeze,Ascent,Pearl,Haven,A,3,2026-05-08 05:00:00,https://www.vlr.gg/659480/xi-lai-gaming-vs-edward-gaming-vct-2026-china-stage-1-ubf,VCT 2026: China Stage 1
DRG,AG,Fracture,Breeze,Lotus,Split,Pearl,Ascent,Haven,A,3,2026-05-08 07:10:00,https://www.vlr.gg/659486/all-gamers-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lr3,VCT 2026: China Stage 1
DRG,XLG,Fracture,Ascent,Lotus,Breeze,Haven,Split,Pearl,A,5,2026-05-09 05:00:00,https://www.vlr.gg/659487/xi-lai-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lbf,VCT 2026: China Stage 1
EDG,XLG,Lotus,Ascent,Fracture,Split,Breeze,Haven,Pearl,A,5,2026-05-10 05:00:00,https://www.vlr.gg/659481/edward-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-gf,VCT 2026: China Stage 1
