player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
Wo0t,TH,3,0,0,0,0,0,0,0,0,41,3,0,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
benjyfishy,TH,3,0,0,0,0,0,0,0,0,44,2,0,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
ComeBack,TH,5,1,0,0,0,0,0,0,0,58,1,1,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Shao,NAVI,0,0,0,0,1,0,0,0,0,45,5,0,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Filu,NAVI,4,1,0,0,0,0,0,0,0,45,2,0,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
sociablEE,NAVI,3,1,0,0,0,0,0,0,0,51,2,0,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Ruxic,NAVI,0,2,0,0,0,0,0,0,0,37,0,0,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
hiro,NAVI,4,1,0,0,0,0,0,0,0,62,0,2,Haven,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Boo,TH,0,0,0,0,0,0,0,0,0,31,4,0,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
RieNs,TH,1,0,0,0,0,0,0,0,0,28,1,1,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Wo0t,TH,1,2,0,0,0,0,0,0,0,51,1,0,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
benjyfishy,TH,1,2,0,0,0,1,0,0,0,46,0,1,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
