teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
G2,Split,def,MIBR,1,0,13,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,1,0,14,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,0,1,15,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,1,0,16,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,1,0,17,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,0,1,18,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,0,1,19,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,1,0,20,defus,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,0,1,21,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,1,0,22,defus,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,0,1,23,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,0,1,24,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,1,0,26,tim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,1,0,28,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,def,MIBR,0,1,30,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,1,0,1,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,1,0,2,boom,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,1,0,3,boom,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,0,1,4,defus,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,1,0,5,boom,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,1,0,6,boom,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,0,1,7,defus,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,0,1,8,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,0,1,9,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,0,1,10,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,1,0,11,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,atk,EG,0,1,12,defus,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,0,1,13,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,1,0,14,defus,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,1,0,15,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,1,0,16,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,1,0,17,defus,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,1,0,18,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,1,0,19,defus,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,0,1,20,elim,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Haven,def,EG,1,0,21,defus,2026-04-11 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,1,0,1,elim,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,1,0,2,elim,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,1,0,3,elim,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,1,0,4,elim,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,0,1,5,defus,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,1,0,6,elim,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,1,0,7,elim,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
100T,Breeze,atk,EG,1,0,8,elim,2026-04-11 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1
