team,player,agent,ratingBoth,ratingT,rating-ct,acsBoth,acsT,acsCT,killsBoth,killsT,killsCT,deadBoth,deadT,deadCT,assistsBoth,assistsT,assistsCT,k-dBoth,k-dT,k-dCT,kastBoth,kastT,kastCT,adrBoth,adrT,adrCT,hsBoth,hsT,hsCT,fkBoth,fkT,fkCT,fdBoth,fdT,fdCT,fk-fdBoth,fk-fdT,fk-fdCT,map,map_id_vlr,map_duration,date,source_url,event
TL,GSR,Yoru,1.17,0.66,1.5,207.0,137.0,255.0,14.0,4.0,10.0,12.0,6.0,6.0,5.0,2.0,3.0,2.0,-2.0,4.0,0.8,0.75,0.83,138.0,76.0,180.0,0.32,0.25,0.35,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,nAts,Killjoy,1.04,0.67,1.28,210.0,182.0,229.0,15.0,5.0,10.0,11.0,6.0,5.0,2.0,1.0,1.0,4.0,-1.0,5.0,0.65,0.75,0.58,133.0,119.0,143.0,0.22,0.1,0.33,2.0,0.0,2.0,4.0,2.0,2.0,-2.0,-2.0,0.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,trexx,Fade,0.88,0.63,1.05,172.0,150.0,187.0,12.0,5.0,7.0,13.0,7.0,6.0,7.0,1.0,6.0,-1.0,-2.0,1.0,0.8,0.88,0.75,142.0,134.0,147.0,0.31,0.4,0.27,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,something,Yoru,1.3,1.15,1.52,209.0,198.0,226.0,18.0,10.0,8.0,11.0,7.0,4.0,1.0,1.0,0.0,7.0,3.0,4.0,0.7,0.5,1.0,118.0,116.0,121.0,0.3,0.38,0.19,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,Jinggg,Phoenix,0.9,0.87,0.96,197.0,181.0,224.0,14.0,7.0,7.0,16.0,9.0,7.0,5.0,4.0,1.0,-2.0,-2.0,0.0,0.65,0.58,0.75,122.0,119.0,126.0,0.22,0.15,0.33,2.0,0.0,2.0,1.0,1.0,0.0,1.0,-1.0,2.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,invy,Fade,0.83,0.57,1.22,186.0,103.0,312.0,10.0,3.0,7.0,15.0,9.0,6.0,14.0,9.0,5.0,-5.0,-6.0,1.0,0.65,0.58,0.75,125.0,58.0,226.0,0.25,0.33,0.23,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,f0rsakeN,Astra,0.51,0.73,0.19,141.0,183.0,78.0,9.0,7.0,2.0,17.0,9.0,8.0,8.0,6.0,2.0,-8.0,-2.0,-6.0,0.65,0.67,0.63,86.0,110.0,51.0,0.21,0.26,0.1,2.0,1.0,1.0,4.0,3.0,1.0,-2.0,-2.0,0.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,d4v41,Chamber,0.47,0.36,0.64,130.0,122.0,142.0,9.0,5.0,4.0,16.0,10.0,6.0,3.0,1.0,2.0,-7.0,-5.0,-2.0,0.55,0.5,0.63,81.0,71.0,97.0,0.17,0.3,0.1,2.0,2.0,0.0,5.0,3.0,2.0,-3.0,-1.0,-2.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,GSR,Yoru,1.25,1.05,1.48,261.0,259.0,264.0,21.0,11.0,10.0,17.0,10.0,7.0,4.0,1.0,3.0,4.0,1.0,3.0,0.7,0.67,0.73,168.0,167.0,169.0,0.35,0.43,0.29,2.0,0.0,2.0,2.0,1.0,1.0,0.0,-1.0,1.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,trexx,Fade,0.99,1.04,0.93,166.0,188.0,144.0,14.0,8.0,6.0,17.0,11.0,6.0,10.0,7.0,3.0,-3.0,-3.0,0.0,0.87,1.0,0.73,105.0,124.0,85.0,0.33,0.32,0.33,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
